Fold,Feature,acc_,acc_after,TPR_diff,TPR_diff_after,FPR_diff,FPR_diff_after,SPD,SPD_after,DIR,DIR_after,AOD,AOD_after,TPR,TPR_after,FPR,FPR_after,SP,SP_after,Pre,Pre_after,Re,Re_after,F1,F1_after,ACC,ACC_after
0,sex,0.7047619047619048,0.6761904761904762,0.119,0.143,-0.256,-0.255,0.18,0.193,0.69,0.629,-0.0685,-0.05600000000000001,0.708,0.604,0.298,0.263,0.486,0.419,0.667,0.659,0.708,0.604,0.687,0.63,0.705,0.676
0,age,0.7047619047619048,0.6761904761904762,-0.833,-0.532,0.333,0.208,0.544,0.36,0,0,-0.24999999999999997,-0.16200000000000003,0.708,0.521,0.298,0.193,0.486,0.343,0.667,0.694,0.708,0.521,0.687,0.595,0.705,0.676
0,Pstatus,0.7047619047619048,0.6571428571428571,-0.051,-0.12,-0.039,0.088,0.056,0.056,0.896,1.167,-0.045,-0.016,0.708,0.542,0.298,0.246,0.486,0.381,0.667,0.65,0.708,0.542,0.687,0.591,0.705,0.657
0,Medu,0.7047619047619048,0.6571428571428571,-0.325,-0.12,0.208,-0.026,0.339,0.098,2.356,1.315,-0.05850000000000001,-0.073,0.708,0.542,0.298,0.246,0.486,0.381,0.667,0.65,0.708,0.542,0.687,0.591,0.705,0.657
0,Fjob,0.7047619047619048,0.7047619047619048,-0.095,-0.095,0.111,0.192,0.086,0.129,1.2,1.321,0.008,0.0485,0.708,0.708,0.298,0.298,0.486,0.486,0.667,0.667,0.708,0.708,0.687,0.687,0.705,0.705
0,reason,0.7047619047619048,0.7047619047619048,0.265,0.265,-0.181,0.042,0.241,0.123,0.616,0.78,0.04200000000000001,0.1535,0.708,0.708,0.298,0.298,0.486,0.486,0.667,0.667,0.708,0.708,0.687,0.687,0.705,0.705
0,guardian,0.7047619047619048,0.6476190476190476,0.298,-0.681,0.304,-0.643,0.015,0.005,0.971,1.01,0.301,-0.662,0.708,0.667,0.298,0.368,0.486,0.505,0.667,0.604,0.708,0.667,0.687,0.634,0.705,0.648
0,traveltime,0.7047619047619048,0.6571428571428571,-0.344,-0.251,0.298,0.316,0.09,0.06,1.225,1.15,-0.022999999999999993,0.0325,0.708,0.625,0.298,0.316,0.486,0.457,0.667,0.625,0.708,0.625,0.687,0.625,0.705,0.657
0,studytime,0.7047619047619048,0.6571428571428571,0.109,-0.034,-0.366,-0.06,0.289,0.06,0.593,0.889,-0.1285,-0.047,0.708,0.667,0.298,0.351,0.486,0.495,0.667,0.615,0.708,0.667,0.687,0.64,0.705,0.657
0,schoolsup,0.7047619047619048,0.5714285714285714,-0.85,-0.5,0.5,-0.095,0.689,0.138,0,1.285,-0.175,-0.2975,0.708,0.667,0.298,0.509,0.486,0.581,0.667,0.525,0.708,0.667,0.687,0.588,0.705,0.571
0,famsup,0.7047619047619048,0.6857142857142857,0.116,0.063,-0.319,-0.043,0.203,0.023,0.684,0.96,-0.1015,0.010000000000000002,0.708,0.75,0.298,0.368,0.486,0.543,0.667,0.632,0.708,0.75,0.687,0.686,0.705,0.686
0,paid,0.7047619047619048,0.6761904761904762,-0.5,-0.295,0.177,0.134,0.339,0.232,2.867,1.638,-0.1615,-0.08049999999999999,0.708,0.771,0.298,0.404,0.486,0.571,0.667,0.617,0.708,0.771,0.687,0.685,0.705,0.676
0,activities,0.7047619047619048,0.6666666666666666,-0.022,-0.044,-0.025,0.091,0.052,0.11,0.898,1.22,-0.0235,0.0235,0.708,0.75,0.298,0.404,0.486,0.562,0.667,0.61,0.708,0.75,0.687,0.673,0.705,0.667
0,nursery,0.7047619047619048,0.6476190476190476,-0.044,-0.111,0.067,-0.061,0.207,0.09,1.657,1.171,0.011500000000000003,-0.086,0.708,0.771,0.298,0.456,0.486,0.6,0.667,0.587,0.708,0.771,0.687,0.667,0.705,0.648
0,higher,0.7047619047619048,0.7047619047619048,-0.708,-0.771,0.304,0.357,0.49,0.548,0,0,-0.20199999999999999,-0.20700000000000002,0.708,0.771,0.298,0.351,0.486,0.543,0.667,0.649,0.708,0.771,0.687,0.705,0.705,0.705
0,internet,0.7047619047619048,0.6666666666666666,-0.495,-0.091,0.347,-0.071,0.411,0.0,4.083,1.0,-0.07400000000000001,-0.08099999999999999,0.708,0.792,0.298,0.439,0.486,0.6,0.667,0.603,0.708,0.792,0.687,0.685,0.705,0.667
0,romantic,0.7047619047619048,0.6857142857142857,0.174,0.15,-0.044,0.022,0.05,0.003,0.906,0.994,0.065,0.086,0.708,0.729,0.298,0.351,0.486,0.524,0.667,0.636,0.708,0.729,0.687,0.679,0.705,0.686
